1.77206e+010	1.521e+011	29300	-3470.41	-0	-3.42691e+022
3.54413e+010	1.50001e+011	28903.8	-6871.34	-3.91265e+021	-3.35831e+022
5.29223e+010	1.45845e+011	28126.7	-10160.3	-7.67362e+021	-3.24777e+022
6.99333e+010	1.397e+011	26989	-13295.6	-1.12342e+022	-3.09596e+022
8.62562e+010	1.31659e+011	25516.5	-16237.1	-1.45405e+022	-2.90463e+022
1.01689e+011	1.21839e+011	23740.5	-18947.8	-1.75368e+022	-2.67677e+022
1.16047e+011	1.10379e+011	21697.9	-21395.2	-2.01703e+022	-2.41672e+022
1.2917e+011	9.74393e+010	19430	-23552.4	-2.2395e+022	-2.13013e+022
1.40921e+011	8.31949e+010	16981.7	-25399.3	-2.41761e+022	-1.82372e+022
1.51192e+011	6.78334e+010	14400.1	-26923.4	-2.54928e+022	-1.50501e+022
1.59901e+011	5.15501e+010	11732.5	-28120.2	-2.63409e+022	-1.18181e+022
1.66997e+011	3.45431e+010	9025.32	-28992.9	-2.67328e+022	-8.61835e+021
1.72455e+011	1.70081e+010	6321.8	-29552.2	-2.66964e+022	-5.52212e+021
1.76278e+011	-8.65026e+008	3661.19	-29814.6	-2.62726e+022	-2.5911e+021
1.78493e+011	-1.88969e+010	1077.6	-29801.9	-2.55121e+022	1.25192e+020
1.79145e+011	-3.69211e+010	-1400.59	-29539.5	-2.44714e+022	2.59076e+021
1.78297e+011	-5.47866e+010	-3750.94	-29055.1	-2.32089e+022	4.78327e+021
1.76029e+011	-7.23591e+010	-5956.77	-28377.3	-2.17819e+022	6.69305e+021
1.72426e+011	-8.95217e+010	-8006.82	-27534.6	-2.02435e+022	8.32138e+021
1.67584e+011	-1.06175e+011	-9894.61	-26554.5	-1.86413e+022	9.67834e+021
1.61599e+011	-1.22235e+011	-11617.8	-25462.8	-1.70159e+022	1.07806e+022
1.54573e+011	-1.37635e+011	-13177.4	-24283.1	-1.54007e+022	1.16492e+022
1.46603e+011	-1.52321e+011	-14577.2	-23036.7	-1.38223e+022	1.23076e+022
1.37787e+011	-1.66254e+011	-15822.8	-21742.4	-1.23006e+022	1.27804e+022
1.28217e+011	-1.79403e+011	-16921.6	-20416.6	-1.08501e+022	1.30917e+022
1.17983e+011	-1.91751e+011	-17881.7	-19073.3	-9.48013e+021	1.32647e+022
1.07168e+011	-2.03287e+011	-18711.7	-17724.3	-8.19624e+021	1.33209e+022
9.58515e+010	-2.14007e+011	-19420.7	-16379.5	-7.00075e+021	1.32797e+022
8.41059e+010	-2.23913e+011	-20017.5	-15047	-5.89355e+021	1.31585e+022
7.19993e+010	-2.33013e+011	-20511	-13733.2	-4.8727e+021	1.29725e+022
5.95943e+010	-2.41319e+011	-20909.4	-12443.6	-3.93497e+021	1.27349e+022
4.69482e+010	-2.48845e+011	-21221	-11182.1	-3.07627e+021	1.2457e+022
3.41138e+010	-2.55608e+011	-21453.1	-9951.84	-2.29196e+021	1.21484e+022
